StudentId,SchoolId,StudentSpecialId,StundentName,ParentName,Address,City,ContactNumber,ClasssNumber,ClassId,DivisionId,BusId,TripNo,FilePath,TimeStamp,StudentGuid,IsActive,ParentId,State,Gender,BloodGroup,ParentEmail,PostalCode,DOB,Aadhaar,BioNumber
1,4,ST7J12,Test Student,Test Parent,Test Address,Test City,3265236598,12,4,2,1,1,/Media/School/Profile/346c0b78-b4cf-414b-9872-11bd59147eb5.jpeg,2017-06-02 09:51:58.620,84A0A54B-EA7C-451D-91E4-2C021A38B02D,0,NULL,Test State,,NULL,srishti@test.com,695582,NULL,NULL,NULL
4,1,STP776,Test Student,Test Parent,Test Address,Test City,3265236598,12,1,2,4,1,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-02 09:58:05.670,4E5884D8-5F36-421A-8B20-A6C1186F382C,1,1,Test State,,NULL,srishti@test.com,695582,NULL,NULL,NULL
5,4,STC636,Test Student 2,Parent Test,Address Test,City State,645654564,21,4,1,1,2,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-02 10:03:42.310,4A4D11A6-0E95-464E-87B9-694B406728DD,1,1,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
6,19,STGQ81,Test Student 2,Parent Test,Address Test,City State,645654564,21,4,1,9,6,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-19 09:28:09.343,A15393C7-F84C-4C6D-86E5-736BCC02BF7E,1,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
7,19,STU443,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,4,1,9,2,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-19 09:39:43.880,E72513FB-5992-420D-8A9F-F989199AB0F2,1,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
8,19,ST0084,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,4,1,9,2,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-19 11:25:23.383,C6CADC23-6545-4551-8E61-B09DF8FBBA2C,1,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
9,19,STER86,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,4,1,9,2,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-19 11:25:26.397,3D6032BA-C542-44B2-8838-43B69C9506FF,1,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
10,19,STZP3,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,4,1,9,2,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-19 11:25:29.547,D4895B53-1D77-4A31-96E6-541430506529,1,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
11,19,ST3G61,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,12,32,9,2,/Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-20 04:01:10.823,F23DEB9E-4207-402D-8011-2293F60E1AC7,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
12,19,ST1E61,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,12,32,9,NULL,Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-20 04:44:50.413,E918045E-2C46-4C84-8CC5-AA75F680D136,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
13,19,STD93,Test Student 2,Parent Test,Address Test,City State,645654564,2,12,32,9,2,Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-20 05:15:08.823,0FCDB505-13A4-403D-958E-9E408B022325,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
14,19,ST7793,Test Student 2,Parent Test,Address Test,City State,645654564,2,12,32,9,2,Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-20 05:15:50.963,A4C328AA-73F6-4F1E-A8B6-F5C86A21BF7F,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
15,19,STQ020,Test Student 2,Parent Test,Address Test,City State,645654564,21,4,1,7,1,NULL,2017-06-19 05:40:09.717,DD68A9DE-B40E-4668-929C-52F9A487C367,1,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
16,19,STXS77,Test Student 2,Parent Test,Address Test,City State,f,NULL,12,32,7,NULL,Pictures,2017-06-19 05:50:35.113,F591B965-8137-4DFC-846C-C0A7F85B6989,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
17,19,STXI47,Test Student 2,Parent Test,Address Test,City State,f,NULL,12,32,7,NULL,Pictures,2017-06-20 05:53:05.067,6B995034-2B6A-4FA7-9DFE-8343F0279068,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
18,19,ST5523,Test Student 2,Parent Test,Address Test,City State,645654564,2,12,32,7,2,Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-20 05:57:56.757,F584E433-89BE-4D4B-A86D-AD565A8200CD,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
19,19,ST3V13,Test Student 2,Parent Test,Address Test,City State,645654564,NULL,12,32,7,NULL,Media/School/Profile/e5c52866-c2e0-4728-a7c0-433a996d2544.jpeg,2017-06-20 05:59:04.390,50B192CA-6D4E-4F2B-883E-D1896471852C,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
20,19,STR164,Test Student 2,Parent Test,Address Test,City State,645654564,2,12,32,7,2,/Media/Student/Profile/182e975b-e6ec-4e2b-8916-311e618192e3.jpeg,2017-06-20 06:17:47.683,3E071DC8-54E1-4D2B-8B85-4849BE25769A,0,NULL,State Test,,NULL,srishti@test.com,695582,NULL,NULL,NULL
21,19,STAQ24,Joyus,Jose,Kkd,Kozhikode,9747567514,NULL,12,32,7,NULL,/Media/Student/Profile/5cffbd3c-bf48-412e-a73a-f48e929df5d7.jpeg,2017-06-20 06:31:17.683,F15613FE-E707-4D6D-A606-85ACB4E82AF2,0,NULL,kerala,,NULL,srishti@test.com,695582,NULL,NULL,NULL
22,19,ST7L90,Joyus,Jose,Kkd,Kozhikode,9747567514,NULL,12,32,7,NULL,/Media/Student/Profile/ebae164c-e584-4dc7-b610-8b1b78f67914.jpeg,2017-06-20 06:31:25.557,F2BA9F65-88DB-43FA-9EEB-34B115CED234,0,NULL,kerala,,NULL,srishti@test.com,695582,NULL,NULL,NULL
23,19,STLC75,Joyus,Jose,Kkd,Kozhikode,9747567514,NULL,12,32,7,NULL,/Media/Student/Profile/0af0f76b-2d70-4132-8b7b-4c8af276acb3.jpeg,2017-06-20 06:31:34.090,EC32485B-B03B-4DFC-BB90-9187C8F24483,0,NULL,kerala,,NULL,srishti@test.com,695582,NULL,NULL,NULL
24,19,STAV23,Joyus,Jose,Kkd,Kozhikode,9747567514,NULL,12,32,7,NULL,/Media/Student/Profile/41ecdce0-e0d4-4c2b-b254-754aec5bfe3b.jpeg,2017-06-20 06:32:05.890,7BD9B298-F760-47D3-B3E6-473FA8FC437E,0,NULL,kerala,,NULL,srishti@test.com,695582,NULL,NULL,NULL
25,19,ST8K78,Joyus,Jose,Kkd,Kozhikode,9747567514,NULL,12,32,7,NULL, /storage/emulated/0/DCIM/Camera/1478842821788.jpg,2017-06-20 06:38:04.497,B4094DCD-CB26-4806-8636-DABB6DA1FD99,0,NULL,kerala,,NULL,srishti@test.com,695582,NULL,NULL,NULL
